Title,Type,Vendor,Price,SKU,Handle
Ash Blonde Natural Straight Hair Micro Tips,,Prarvi Hair,115.0,,ash-blonde-hair-micro-tips
Platinum Blonde Natural Wave I-Tip Hair Extensions,,Prarvi Hair,115.0,,golden-blonde-i-tip-hair-extension
Brown Silky Straight I-Tip Hair Extension,,Prarvi Hair,135.0,,brown-silky-straight-i-tip-hair-extension
Brown Silky Straight I-Tip Hair Extension,,Prarvi Hair,150.0,,brown-silky-straight-i-tip-hair-extension
Brown Silky Straight I-Tip Hair Extension,,Prarvi Hair,160.0,,brown-silky-straight-i-tip-hair-extension
Brown Silky Straight I-Tip Hair Extension,,Prarvi Hair,170.0,,brown-silky-straight-i-tip-hair-extension
Ash Blonde Natural Wave Hair Micro Tips,,Prarvi Hair,115.0,,ash-blonde-natural-wave-hair-micro-tips
Ash Blonde Natural Wave Hair Micro Tips,,Prarvi Hair,125.0,,ash-blonde-natural-wave-hair-micro-tips
Relaxed Hair I-Tip,,Prarvi Hair,99.0,,yaki-i-tip-hair-extension
Relaxed Hair I-Tip,,Prarvi Hair,109.0,,yaki-i-tip-hair-extension
Prarvi Hair Platinum Blonde Natural Straight Micro Tips,,Prarvi Hair,115.0,,platinum-blonde-i-tip-hair-extension
Loose Curly Round Shape I-Tip Hair Extension,,Prarvi Hair,99.0,,loose-curly-round-shape-i-tip-hair-extension
Loose Curly Round Shape I-Tip Hair Extension,,Prarvi Hair,109.0,,loose-curly-round-shape-i-tip-hair-extension
Loose Curly Round Shape I-Tip Hair Extension,,Prarvi Hair,115.0,,loose-curly-round-shape-i-tip-hair-extension
Prarvi Kinky Curly I-Tip Hair Extensions,,Prarvi Hair,99.0,,curly-micro-link
Prarvi Kinky Curly I-Tip Hair Extensions,,Prarvi Hair,109.0,,curly-micro-link
Ash Blonde Hair Sample Piece,,Prarvi Hair,5.0,,ash-blonde-sample-piece
Hair Extension Sample Kit - Platinum Blonde Natural Black Texture,,Prarvi Hair,5.0,,platinum-hair-sample
Hair Sample Piece,,Prarvi Hair,5.0,,hey-sample-piece
Afro Thin Hair Sample,,Prarvi Hair,5.0,,afro-thin-hair-sample
Natural Wave Hair Sample Piece,,Prarvi Hair,5.0,,natural-wave-hair-sample
Kinky Curl Hair Sample Piece,,Prarvi Hair,5.0,,kinky-curl-hair-sample
Afro Thick Hair Sample Piece,,Prarvi Hair,5.0,,afro-thick-hair-sample-piece
Body Wave Hair Sample Piece,,Prarvi Hair,5.0,,body-wave-hair-sample
Relaxed Hair Sample Piece,,Prarvi Hair,5.0,,relaxed-sample-piece
Golden Blonde Hair Sample Piece,,Prarvi Hair,5.0,GBSAMPLE,blonde-hair-sample
Grey Hair Sample Piece,,Prarvi Hair,5.0,GRSAMPLE,grey-sample-hair
Prarvi Clip-On Volumizer - Platinum Blonde Natural Wavy Raw Human Hair,,Prarvi Hair,399.0,,platinum-blonde-clip-ons-volumizer
Ash Blonde Clip-Ons Volumizer,,Prarvi Hair,399.0,,ash-blonde-clip-ons-volumizer
Lace Frontal-Silky Straight,,Prarvi Hair,309.0,FRSS14,lace-frontal-silky-straight
Lace Frontal-Silky Straight,,Prarvi Hair,319.0,FRSS16,lace-frontal-silky-straight
Lace Frontal-Silky Straight,,Prarvi Hair,339.0,FRSS18,lace-frontal-silky-straight
Lace Frontal-Silky Straight,,Prarvi Hair,359.0,FRSS20,lace-frontal-silky-straight
Lace Frontal-Jackson Curly,,Prarvi Hair,309.0,FRJC14,copy-of-lace-frontal-jackson-curly
Lace Frontal-Jackson Curly,,Prarvi Hair,319.0,FRJC16,copy-of-lace-frontal-jackson-curly
Lace Frontal-Jackson Curly,,Prarvi Hair,339.0,FRJC18,copy-of-lace-frontal-jackson-curly
Lace Frontal-Jackson Curly,,Prarvi Hair,359.0,FRJC20,copy-of-lace-frontal-jackson-curly
Prarvi U Clip-Ons Volumizer for Fuller and Natural-Looking Hair,,Prarvi Hair,349.0,,u-volumizer-hair-weft
Clip-Ons Volumizer,,Prarvi Hair,379.0,,volumizer-clipons
